Date,Color,color,base_color,simple_color,single_color,color_has_multi,color_has_blue,color_has_orange,color_has_red,color_has_grey,color_has_gold,color_has_white,color_has_tan,color_has_brown,color_has_black,Breed,Purebred,CKC Class,ckc_class,Sex,State,Name,DateCreated
2014-03-23,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,DSH,DSH Cat,,,M/N,lost,Buddy,2014-03-27
2014-03-28,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,DSH,DSH Cat,,,M/N,lost,Buckey,2014-03-28
2014-03-28,Grey,Grey,grey,grey,grey,0,0,0,0,1,0,0,0,0,0,Tortoise Shell Tabby,Tortoise Shell Cat,,,F,lost,?,2014-03-31
2014-04-01,,,,?,,0,0,0,0,0,0,0,0,0,0,Jack Russell Terrier,Jack Russell Terrier,Terrier,terrier,M,lost,Shmoe,2014-04-01
2014-04-01,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Chihuahua,Chihuahua,Toy Dog,toy,M,lost,Diego,2014-04-01
2014-04-01,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Staffordshire Bull Terrier,Staffordshire Bull Terrier,Terrier,terrier,M/N,lost,Dexter,2014-04-01
2014-04-01,White,White,white,white,white,0,0,0,0,0,0,1,0,0,0,Maltese,Maltese,Toy Dog,toy,M,lost,Zeus,2014-04-01
2014-04-02,Brown,Brown,brown,brown,brown,0,0,0,0,0,0,0,0,1,0,Unknown,Unknown,Dog Crossbreed,crossbreed,M,lost,Wes,2014-04-02
2014-04-04,Apricot,Apricot,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,DSH Cat,DSH Cat,,,M,lost,Chad,2014-04-04
2014-04-05,Apricot,Apricot,orange,orange,orange,0,0,1,0,0,0,0,0,0,0,Kitten,Kitten,,,M,lost,Little Cheese,2014-04-05
2014-04-06,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Schipperke,Schipperke,Non-Sporting Dog,nonsporting,F,lost,Minly,2014-04-06
2014-04-06,Cream,Cream,cream,white,white,0,0,0,0,0,0,1,0,0,0,Maltese,Maltese,Toy Dog,toy,M,lost,Teddy Bear,2014-04-06
2014-04-07,Black,Black,black,black,black,0,0,0,0,0,0,0,0,0,1,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,F,lost,,2014-04-07
2014-04-08,Red,Red,red,red,red,0,0,0,1,0,0,0,0,0,0,Amer. Staffordshire,American Staffordshire,Terrier,terrier,F/S,lost,Taya,2014-04-08
2014-04-08,Blue,Blue,blue,blue,blue,0,1,0,0,0,0,0,0,0,0,Budgie,Budgie,,,X,lost,Pickles,2014-04-08
