Date,Color,Breed,Sex,State,Name,DateCreated
2001-02-22,Brown,Cairn Terrier,F/S,Lost,Riona,2001-02-22
2001-02-23,Black & White,Border Collie ( short haired),M,Lost,Jack,2001-02-23
2001-02-23,Black,Lab X,M/N,Found,Smokey,2001-02-23
2001-02-21,Tan with White Markings,Beagle X Shep,M/N,Lost,Wally,2001-02-23
2001-02-24,Black & Tan,Shep X,F/S,Lost,Seven,2001-02-24
2001-02-24,Chocolate,Lab X Pit,M/N,Matched,,2001-02-24
2001-02-24,White & Grey,English Sheep,M/N,Found,,2001-02-24
2001-02-24,Grey & White,OE Sheepdog,M,Matched,Sherwood,2001-02-24
2001-02-24,Brown & White,Shih Tzu,M,Found,,2001-02-24
2001-02-24,Yellow,Lab X,F,Found,,2001-02-24
2001-02-25,Black & Brown,Shepherd,F,Matched,Maimai,2001-02-25
2001-02-25,Black & Brown & White,Shepherd X,F,Matched,Maimai,2001-02-25
2001-02-25,White & Blond,Am Staff,F,Lost,China,2001-02-25
2001-02-25,Black & White,Am Staff,M,Lost,Tank,2001-02-25
2001-02-26,Black & Tan,Shep,M,Found,,2001-02-26
2001-02-26,Black & Tan,Shep X,F,Found,,2001-02-26
2001-02-27,Black & White,Retriever,M/N,Lost,Bob,2001-02-27
2001-02-28,Brown with Black Tail,Basenji X ?,F,Matched,,2001-02-28
2001-02-28,Black & Tan,Shep puppy,M,Lost,Rufus,2001-02-28
2001-02-27,Blonde,Pom X,M/N,Lost,Beebee,2001-03-01
2001-03-01,Black,Sckipperke,F/S,Matched,Jenna,2001-03-01
2001-03-01,Black & White & Tan,Malamute X,M,Found,Buddy,2001-03-01
2001-03-02,White with Black Spots,Shih Tsu,F,Lost,Snoopy,2001-03-02
2001-03-02,Black & White,Retreiver X,M/N,Lost,Bob,2001-03-02
2001-03-02,Brown & White,Pit X Lab,M/N,Matched,Buddy,2001-03-02
2001-03-02,White,Maltese X Pom,F/S,Matched,Brittany,2001-03-02
2001-03-03,Black,Bouvier,F,Matched,Wolf,2001-03-03
2001-03-03,White,Samoyed (2 dogs),,Matched,Snow & Shandy,2001-03-03
2001-03-03,Brown & White,Malamute X,M/N,Lost,Bonk,2001-03-04
2001-03-04,White & Fawn,Matipoo ?,M,Matched,,2001-03-04
2001-03-04,Dark Brown with White,Elkhound X Collie,F/S,Lost,Charm,2001-03-05
2001-03-02,Black & Tan,Rotty X,M,Lost,Chubbrox,2001-03-05
2001-03-05,Black,Chow,F,Lost,Tia,2001-03-05
2001-03-06,Tan & Black,Shep X Rotty,M/N,Found,,2001-03-06
2001-03-08,Black & Tan,Shep X,F,Lost,Keno,2001-03-08
2001-03-08,Black & White,Shep X,M,Found,,2001-03-08
2001-03-08,Brindle,Boxer,M/N,Lost,Wally,2001-03-08
2001-03-08,Black with White Patches,Lab X,M/N,Matched,Cody,2001-03-09
2001-03-09,White,Bulldog,F,Matched,Blanca,2001-03-09
2001-03-06,Red,Dashound,F/S,Lost,Candella,2001-03-09
2001-03-09,Black with White Patch on Ches,Spaniel,F/S,Lost,Karra,2001-03-09
2001-03-09,Yellow,Pit X Shep,F/S,Lost,Nutka,2001-03-09
2001-03-10,Golden,Retriever,F/S,Matched,W King Edward,2001-03-10
2001-03-10,Greyish,Malamute,M/N,Matched,Jake,2001-03-10
2001-03-10,White,Malitpoo,F,Lost,mimi,2001-03-10
2001-03-10,Grey,Wheaton Terr X Poo,M/N,Lost,Zed,2001-03-10
2001-03-10,Dark Brown,Boxer,M,Lost,Wally,2001-03-10
2001-03-11,Black & Tan,Rott,M/N,Matched,Salem,2001-03-11
2001-03-11,White with Brown Spots,Whippet,F/S,Lost,Hannah,2001-03-11
2001-03-11,Black & Tan & White,Husky X Shep,F,Lost,Keno,2001-03-11
2001-03-11,Black & Beige,Cocker Spaniel,F/S,Lost,Maddy,2001-03-11
2001-03-11,Tan,Pom X,F,Matched,,2001-03-11
2001-03-12,Tan,Terrier X,M,Found,Constable Shultz VPD,2001-03-12
2001-03-13,Black,Rotty X,F,Lost,Onyx,2001-03-13
2001-03-12,Black & Tan,Shepherd X Collie,F,Lost,Roxy,2001-03-13
2001-03-13,Black & White,Min Pin,M,Lost,,2001-03-13
2001-03-13,White & Black,Husky X Wolf,M,Lost,Spirit,2001-03-13
2001-03-13,Black,Greyhound,F/S,Matched,Carrie,2001-03-13
2001-03-13,Black & Brown & White,Basset Hound,M/N,Lost,Dudley,2001-03-13
2001-03-13,Black & Brown,Min Pin,M,Lost,Spike,2001-03-13
2001-03-13,Black & Grey,Lab X,F/S,Lost,Rosie,2001-03-13
2001-03-13,Tan,Pit X Akita  (pup),F,Lost,Bia,2001-03-14
2001-03-15,Black & Tan,Shep X Husky,M,Matched,Duke,2001-03-15
2001-03-15,Tri Color,Beagle,M,Matched,,2001-03-15
2001-03-15,Tri Colour,Husky X,M/N,Lost,Luke,2001-03-16
2001-03-16,Tri Colour,Beagle,M/N,Matched,Brigs,2001-03-16
2001-03-16,Tan,Chow,M/N,Lost,Phillip,2001-03-16
2001-03-14,Cream,Shiba Inu,M/N,Lost,Hooper,2001-03-16
2001-03-16,Black & Tan,Min Pin,M,Matched,Mickey,2001-03-16
2001-03-17,White,American Bulldog,M/N,Lost,sooie,2001-03-17
2001-03-17,Black & Brown,Lab X Shep or Collie,F,Found,,2001-03-17
2001-03-18,Black & Tan,Shep,M,Matched,timber,2001-03-18
2001-03-18,White w/ Black & Brown Spots,Fox Terrier,F/S,Lost,Sammy,2001-03-18
2001-03-20,Tan,Pekingese,M/N,Matched,Willy,2001-03-20
2001-03-20,Gold,Gold Retriever,M,Found,Skylar,2001-03-20
2001-03-20,Black & Tan,Shepherd,F,Lost,?,2001-03-20
2001-03-21,White & Brown,Chihuahua X,M,Lost,Bobby,2001-03-21
2001-03-21,Black,Shep X Husky,M/N,Lost,Mong,2001-03-21
2001-03-18,Black & Tan,Shepherd,M/N,Lost,Zeek,2001-03-21
2001-03-21,Black,Pitbull X,M/N,Lost,Apollo,2001-03-21
2001-03-21,Brindle,Boxer,M,Lost,Lex,2001-03-22
2001-03-22,Black with White Paws,Shep X Terr,,Found,,2001-03-22
2001-03-23,Tan,Cocker Spaniel,M/N,Found,Finnigan,2001-03-23
2001-03-23,Black,Coonhound X Lab,M/N,Matched,Hank,2001-03-23
2001-03-23,Black,Carin Terrier,F/S,Lost,Maggie,2001-03-23
2001-03-24,Brown & Black & White,Rotty X Pit,M/N,Lost,Chewbaca,2001-03-24
2001-03-25,Black,Lab (pup),F,Matched,Honey Bear,2001-03-25
2001-03-25,White,Maltese,M/N,Lost,Pi-Pi,2001-03-25
2001-03-27,Black & Tan,Rottweiler,M,Lost,Salem,2001-03-27
2001-03-27,Brown & Black & White,Collie or Sheltie X,M,Matched,,2001-03-27
2001-03-27,Black & Tan,Shep,F,Matched,,2001-03-27
2001-03-27,Gold,Retriever,M/N,Lost,Chase,2001-03-28
2001-03-28,Black & Grey,Cockapoo,F,Lost,connie,2001-03-28
2001-03-28,Black & White,Border Collie,M/N,Matched,Ace,2001-03-28
2001-03-28,Brown & Tan,Husky X,M,Lost,Bear,2001-03-28
2001-03-29,Tan,Long Haired Dachound,F,Found,,2001-03-29
2001-03-29,White & Tan,Beagle X Terr,F/S,Lost,Thelma,2001-03-29
2001-03-30,Black & Tan,Rotty,M,Lost,sheeka,2001-03-30
2001-03-30,Brown & Black & Tan,Spaniel X Shep,F/S,Lost,Sasha,2001-03-30
2001-03-30,Black & White,Lab X ?,F,Matched,,2001-03-30
2001-03-30,Black & White,Border Collie,M/N,Lost,Buddy,2001-03-30
2001-03-31,Gold & Brown,Mix,F,Matched,Daisy,2001-03-31
2001-03-30,Black,Lab X,F,Matched,Jessy,2001-03-31
2001-03-31,Brown & Gold,Retriever X,F/S,Lost,Golda,2001-03-31
2001-03-30,Black & Tan,Rotty,M,Lost,Lucky,2001-04-01
2001-04-01,Brindle,Schnauzer X,M,Found,,2001-04-01
2001-04-02,Grey & White,Sheltie,M,Lost,Lucky,2001-04-02
2001-04-02,Tan & Black,Shep X Chow,M/N,Found,,2001-04-02
2001-04-02,Brindle,Bull Mastiff,M/N,Lost,Jack,2001-04-03
2001-04-02,Brindle & White,Bull Mastiff,F,Lost,Lady,2001-04-03
2001-03-10,Black,Labrador,M,Lost,Cisco,2001-04-03
2001-04-04,White & Black,Lhasa Apso X Yorkie,M,Found,,2001-04-04
2001-04-04,Grey Dark,Rabbitt,,Found,,2001-04-04
2001-04-04,Black & Brown,Shep X Chow,F,Lost,Toby,2001-04-04
2001-04-05,White,Cocker Spaniel,M/N,Lost,Princeton,2001-04-05
2001-04-02,Black & White,Border Collie X,F/S,Lost,April,2001-04-05
2001-04-05,Black,Lab X Pit,F/S,Matched,Nibbles,2001-04-05
2001-04-06,Tan & Black,Shepherd,M/N,Matched,Patrick,2001-04-06
2001-04-06,Tan & Black,Shep (pup),F,Matched,Pattison,2001-04-06
2001-04-06,Black,Standard Poodle,M,Matched,Quigley,2001-04-06
2001-04-06,Black,Sharpei,F,Lost,Maggie,2001-04-06
2001-04-07,Black & White,Border Collie,F,Matched,,2001-04-07
2001-04-08,Black & Tan,Rottweiler X,F,Matched,Raja,2001-04-08
2001-04-09,Tan,Pekingese,F,Found,,2001-04-09
2001-04-09,Black,Lab X,F,Lost,Sasha,2001-04-09
2001-04-09,Black & White,Border Collie,M,Found,,2001-04-09
2001-04-10,Tan,Pomeranian,M/N,Found,,2001-04-10
2001-04-10,Black & White,Cat,,Lost,Cheeky,2001-04-10
2001-04-11,Black & White,English Pointer,M/N,Lost,Monty,2001-04-11
2001-04-11,Black,Chow,M,Matched,Noel,2001-04-11
2001-04-11,White & Tan,Jack Russell,M/N,Found,,2001-04-11
2001-04-11,Blonde,Cocker Spaniel,,Found,,2001-04-11
2001-04-12,Black & White,Mala X Shep,M/N,Matched,Ten Zing,2001-04-12
2001-04-12,Black & Tan,Shep pup,F,Lost,Tatum,2001-04-12
2001-04-12,Golden,Retriever,M/N,Matched,Taylor,2001-04-12
2001-04-14,Black & White,Border Collie,F/S,Matched,Poker,2001-04-14
2001-04-14,Tan with black stripe down bac,Chihuahua X,F/S,Matched,Tica,2001-04-14
2001-04-14,Black & Tan,Husky X Rotty ??,M/N,Lost,Tex,2001-04-14
2001-04-14,Black & Tan,Shep X Lab,M/N,Lost,Mowgli,2001-04-14
2001-04-15,Gold,Lab,M/N,Lost,Max,2001-04-15
2001-04-15,Black & Brindle,Lab X,M,Lost,Austin,2001-04-15
2001-04-16,Black & White,Lab X,F/S,Found,Mercedes,2001-04-16
2001-04-16,Black,Lab X Retriever,F/S,Lost,Marley,2001-04-16
2001-04-16,Black & Tan,Rotty,F,Lost,Sheba,2001-04-17
2001-04-17,Black & Tan,Shep X Husky,M,Matched,Duke,2001-04-17
2001-04-18,Brindle,Pit X,M,Lost,Chief,2001-04-18
2001-04-18,White,Shep X Husky,M/N,Lost,Blizzard,2001-04-18
2001-04-18,Red & Black,Shiba Inu,F/S,Lost,Keiko,2001-04-18
2001-04-14,Black & tan,Rotty,M/N,Lost,Brack,2001-04-18
2001-04-19,Golden,Labrador,M/N,Matched,,2001-04-19
2001-04-19,White & Black,Husky,F/S,Lost,Mauska,2001-04-19
2001-04-19,Brown,Smooth Short Haired Dog,F/S,Lost,Daisy,2001-04-20
2001-04-19,Golden,Lab,M/N,Matched,Sam,2001-04-20
2001-04-20,Black & Tan,Shep,F/S,Lost,Kiera,2001-04-20
2001-04-19,Black & Tan,Rotty,F/S,Matched,Kayla,2001-04-20
2001-04-19,Black & Gold,Lab X Pit,M/N,Lost,Rex,2001-04-20
2001-04-20,Black & Tan,Shep X Rotty,F/S,Lost,Keisha,2001-04-20
2001-04-20,Brindle,Pitbull X,M,Lost,Essence,2001-04-20
2001-04-20,Black,Lab,F/S,Lost,Samantha,2001-04-20
2001-04-20,Tan & Black,Terrier X small,M,Found,,2001-04-20
2001-04-21,White & Tan,Husky X,F/S,Lost,Simmy,2001-04-22
2001-04-22,Red,Husky,M/N,Matched,Smokey,2001-04-22
2001-04-22,Black,Pit X,M/N,Lost,rex,2001-04-22
2001-04-21,White,Maltese Terrier,M/N,Lost,Rascal,2001-04-22
2001-04-21,Tri,Bassett,F/S,Lost,Matilda,2001-04-22
2001-04-22,Black & Tan,Lab X Rotty,M,Lost,Rush,2001-04-22
2001-04-23,Black & Tan,Shep X,F,Found,,2001-04-23
2001-04-17,Black & Tan & White,Shep X,M/N,Lost,Homer,2001-04-23
2001-04-23,Dark Grey,Min Schnauzer,F,Matched,SoSo,2001-04-23
2001-04-24,Black,Sharpei,F,Lost,Kayla,2001-04-24
2001-04-24,Brindle,Pit X Lab,F/S,Lost,Rosie,2001-04-24
2001-04-21,White & Black & Brown,Border Collie X,M/N,Lost,Bandit,2001-04-24
2001-04-25,White,Samoyed X Small,F,Matched,,2001-04-25
2001-04-25,Taupe,Weimaraner,F,Matched,LouLou,2001-04-25
2001-04-25,Black & Tan,Rott X Pit,M,Lost,Clide,2001-04-25
2001-04-24,White,Maltese,M,Lost,Doodoo,2001-04-26
2001-04-26,Black & Tan & White,small dog-med length fur,M/N,Found,,2001-04-26
2001-04-26,Black & White,Lab X Collie,F/S,Matched,Lexus,2001-04-26
2001-04-26,White,Bulldog?,F,Matched,,2001-04-26
2001-04-26,White,Bulldog,F,Matched,Sally,2001-04-26
2001-04-26,White & Brown,Cav Kng Ch Spaniel,M/N,Lost,Poco,2001-04-26
2001-04-26,Tan & White,Pitt Bull,F,Matched,Thelma,2001-04-26
2001-04-26,Black & Tan,Rotty X Shep?,F,Found,,2001-04-26
2001-04-27,Red & White,Siberian Husky,M/N,Matched,Trouble,2001-04-27
2001-04-27,Black & White,Siberian Husky,M,Lost,Eskill,2001-04-27
2001-04-27,Black & Tan,Rottweiler,M,Lost,Rocky,2001-04-27
2001-04-27,Red,Pomeranian X Spitz,M/N,Lost,Punky,2001-04-27
2001-04-27,Black & Brown Face,Small Dog,M/N,Matched,,2001-04-27
2001-04-29,Black,Lab X Rott,M,Matched,Rowan,2001-04-29
2001-04-29,Black & Tan,Shep,M,Found,Rooster,2001-04-29
2001-04-29,Beige,Pomeranian X,F,Lost,Kaos,2001-04-29
2001-04-26,Brown,Mastiff X Rottweiler,M,Lost,Clyde,2001-04-29
2001-04-30,Gold,Retreiver,F,Matched,,2001-04-30
2001-04-10,Black & Tan,Rotty,M,Lost,Stuart,2001-04-30
2001-04-30,Golden,Golden Retriever,F,Matched,?,2001-04-30
2001-04-30,Black & Tan & White,Husky X,F,Lost,Alysha,2001-04-30
2001-04-26,Black & White,Lhaso Apso,F/S,Lost,Petunia,2001-04-30
2001-04-30,Black & Tan,Rottweiler X,F,Lost,Kya,2001-04-30
2001-05-01,Black & Tan,Shep,M,Matched,Fabo,2001-05-01
2001-05-01,Brown & Black,Shep X,F/S,Lost,Georgia,2001-05-01
2001-05-02,Tan,Pitbull,M,Lost,Smokey,2001-05-02
2001-05-01,Black & White,Collie X,M/N,Lost,Tango,2001-05-02
2001-05-02,White & Black,Dalmation,M,Lost,Charley,2001-05-02
2001-05-02,White,Great Pyrenese,F,Matched,Cosmos,2001-05-02
2001-05-03,White & Red,Husky,M,Matched,Odin,2001-05-03
2001-05-01,Black & White,Border  Collie X,M/N,Lost,Tango,2001-05-04
2001-05-04,Black,Boxer X,F,Matched,Chelsea,2001-05-04
2001-05-05,Tri,Beagle,M,Lost,Lucky,2001-05-05
2001-05-05,Grey & White,Husky X Malamute,F/S,Lost,Nikita,2001-05-05
2001-05-02,Black,Doberman X Rotty,M,Lost,Prianic,2001-05-05
2001-05-05,Honey Brown Black Brindle,Terripoo,M,Lost,Chomsky,2001-05-05
2001-05-05,Black & Tan,Shep X Rotty,M/N,Lost,Cujo,2001-05-05
2001-05-05,Tan,Shiba Inu,M,Found,,2001-05-05
2001-05-05,Cream & Black,Lhaso Apso X,F,Found,,2001-05-05
2001-05-06,Blonde,Pug,M/N,Lost,Romeo,2001-05-06
2001-05-06,Blonde,Pit Bull,F,Matched,,2001-05-06
2001-05-06,White & Beige,Lhaso Apso,F,Found,,2001-05-06
2001-05-06,Tri Colour,Border Collie X Shep,F/S,Lost,Georgie,2001-05-06
2001-05-07,Black & White,Border Collie X,F/S,Lost,Sadie,2001-05-07
2001-05-06,Black & White & Beige,Lhasa Apso,M,Matched,Pigeon,2001-05-07
2001-05-07,Brown,Rotty X,F/S,Lost,Luna,2001-05-07
2001-05-06,Black & Tan & White,Shep X Husky,M/N,Matched,Ash,2001-05-07
2001-05-06,Brown & White & Black,Shep X Wolf,M/N,Matched,,2001-05-08
2001-05-08,Black & Brown,Rott X,M,Lost,Marley,2001-05-08
2001-05-07,Brown & White,Shih Tzu,M/N,Lost,Casey,2001-05-08
2001-05-08,Yellow & White,Lab,M,Matched,Owen,2001-05-08
2001-05-08,Black & Beige & White,Schnauzer,M/N,Lost,Micki,2001-05-08
2001-05-08,Blonde,Lab,F,Lost,Silence,2001-05-08
2001-05-09,Black & White,Poodle X,M,Matched,,2001-05-09
2001-05-09,Brown & Red,Pomeranian,M/N,Lost,Parker,2001-05-09
2001-05-10,Cream,Toy Poodle,F/S,Lost,Ginji,2001-05-10
2001-05-10,White & Brown,JR Terrier X,F,Lost,Moka,2001-05-11
2001-05-11,Black & White,Pitbull X,M,Matched,Chapter,2001-05-11
2001-05-11,Black,Spaniel X,M/N,Lost,Monty,2001-05-11
2001-05-11,White,Maltipoo,M/N,Lost,Willy,2001-05-11
2001-05-11,Red & White,Siberian Husky,M/N,Matched,Shamish,2001-05-11
2001-05-11,Black & White,Siberian Husky,M/N,Matched,Bear,2001-05-12
2001-05-12,Yellow,Lab,F,Lost,Stina,2001-05-12
2001-05-12,Black,Lab,M,Matched,Jackson,2001-05-12
2001-05-12,Black,Lab,M/N,Found,Loochie,2001-05-12
2001-05-12,,?,M/N,Lost,Bear,2001-05-12
2001-05-13,White,Chihuahua,F,Matched,Jamie,2001-05-13
2001-05-14,Black & Tan,Shep X,F,Found,Toby,2001-05-14
2001-05-15,Cream,Pekipoo,F,Lost,Popo,2001-05-15
2001-05-15,Black & Tan,Rotty X,F,Lost,Bodie,2001-05-16
2001-05-02,Tan & White,Pitbull X,M/N,Found,,2001-05-16
2001-05-16,Black,Husky ?,F,Lost,Kiesha,2001-05-16
2001-05-17,Black,Tibetan Terrier,M/N,Matched,Java,2001-05-17
2001-05-17,Black & Tan,Rotty,M,Matched,Rocco,2001-05-17
2001-05-16,Tan,Pitbull,M/N,Matched,Zues,2001-05-17
2001-05-17,Blue,Heeler,M,Matched,Nike,2001-05-18
2001-05-17,Tri,Yorkie,M,Matched,Rocco,2001-05-18
2001-05-16,Black & Tan,Rotty,F,Found,,2001-05-18
2001-05-18,Black & White,Rotty X Husky,M/N,Lost,Chopper,2001-05-18
2001-05-18,White,Maltipoo,M/N,Matched,Eddie,2001-05-18
2001-05-18,Black & White,Shep X Lab,M,Lost,,2001-05-18
2001-05-19,Sable & White,Sheltie,F,Lost,Sara,2001-05-19
2001-05-19,Black & White Chest,Lab X,M,Lost,,2001-05-19
2001-05-20,Yellow,Golden Retriever,F/S,Lost,Natasha,2001-05-20
2001-05-20,Black,Ret X Spaniel,F/S,Lost,Lizzy,2001-05-20
2001-05-21,White & Grey,Poodle X ?,F,Found,,2001-05-21
2001-05-22,Grey & White,Maltipoo (?),M,Found,,2001-05-22
2001-05-22,Mostly Black with Tan & White,Rott X Collie,M,Lost,Petruchio (Truke),2001-05-22
2001-05-22,White & Black,Jack Russell Terrier,F/S,Lost,Kelly,2001-05-22
2001-05-22,Black & Tan,Shepherd,F,Lost,Tatem,2001-05-22
2001-05-22,Black,Toy Pom,F,Matched,,2001-05-22
2001-05-22,Black & White Patch on Chest,Lab X Span X Corgi,M/N,Lost,Jockey,2001-05-22
2001-05-22,White with Grey Patches,Jack Russell Terrier,F,Lost,Macie Gray,2001-05-23
2001-05-23,Tan & White,Sheltie,F,Lost,,2001-05-23
2001-05-24,Blue,Budgie,,Found,,2001-05-24
2001-05-24,White & Tan,Jack Russell,F,Lost,Alex,2001-05-24
2001-05-24,White,JR Terrier,F,Lost,Alex,2001-05-24
2001-05-24,Black & Tan,Rotty,F,Lost,Rage,2001-05-25
2001-05-25,Black & White,Border Collie X,F/S,Lost,Sadie,2001-05-25
2001-05-25,Golden,Retriever,M,Matched,,2001-05-25
2001-05-25,Black,Pom,F,Matched,Kilo,2001-05-25
2001-05-25,Black & Tan,Spaniel X Terrier,F/S,Lost,Roxie,2001-05-25
2001-05-25,Black & White,Siberian Husky,M,Lost,Esko,2001-05-26
2001-05-26,Black,Coyote X Lab,M,Matched,Shadow,2001-05-26
2001-05-26,Grey & White & Black,Terrier X Yorkie,M/N,Matched,Oddie,2001-05-26
2001-05-27,Golden,Retriever,M,Lost,Tanner,2001-05-27
2001-05-26,Grey,Maltipoo,M,Matched,,2001-05-27
2001-05-27,Black,Greyhound X Shepherd,F,Found,,2001-05-27
2001-05-27,Tan & Orange,Pomeranian,M/N,Lost,Cody,2001-05-27
2001-05-27,Grey & White,Shih Tzu,M,Lost,Bobo,2001-05-27
2001-05-27,White & Brown,Fox Terrier,M,Matched,,2001-05-27
2001-05-28,Brindle,Staff Bull Terrier,F,Lost,,2001-05-28
2001-05-28,Black & Tan & Grey,Yorkie,M,Matched,,2001-05-28
2001-05-28,Tan & White,Husky X,M/N,Lost,Wylie,2001-05-28
2001-05-28,Brown & White,Boxer,M,Found,,2001-05-28
2001-05-29,Golden,Shep X,F,Matched,Ginger,2001-05-29
2001-05-30,Black & Tan,Shep X,F,Lost,Kayva,2001-05-30
2001-05-30,White,Maltese,M,Lost,Marco,2001-05-30
2001-05-30,Apricot,Poodle,F/S,Lost,Sasha,2001-05-30
2001-05-31,Golden,Retriever,M,Matched,Tanner,2001-05-31
2001-05-31,Black & Tan,Shep,M/N,Matched,Spike,2001-05-31
2001-06-01,Black,Collie X?,M,Matched,,2001-06-01
2001-06-01,Blonde,Lab X? floppy ears,F,Matched,,2001-06-01
2001-06-01,Black & White,Husky,M,Lost,Esko,2001-06-01
2001-06-01,White,Terripoo,M/N,Lost,Pebbles,2001-06-01
2001-06-02,Beige,Cocker Spaniel,F,Matched,?,2001-06-02
2001-06-02,Black & Long haired,Collie X ?,F,Found,Kiara,2001-06-02
2001-06-02,Tan & Brown,Shep X,M,Found,,2001-06-02
2001-06-02,Black,Shep X,F/S,Lost,Pepper,2001-06-02
2001-06-02,Black & Tan,Yorkie,F/S,Lost,Chloe,2001-06-02
2001-06-03,Black & Tan,Shep,M,Lost,Roka,2001-06-03
2001-06-03,Golden,Lab X,F,Found,,2001-06-03
2001-06-04,Brown & Black & White,Pitbull,M/N,Found,,2001-06-04
2001-06-04,Gold & Brown,Shiba Inu,M/N,Found,,2001-06-04
2001-06-04,Colourful,Peacock,M/N,Found,,2001-06-04
2001-06-04,Brown,Choco Lab,F/S,Lost,Emma,2001-06-04
2001-06-04,Black,Lab X Akita,F,Lost,,2001-06-04
2001-06-05,Red & White,Siberian Husky,M,Lost,Trouble,2001-06-05
2001-06-05,Black,Terrier X,M,Matched,Casper,2001-06-05
2001-06-05,Black & White,Husky,F,Matched,Minnie,2001-06-05
2001-06-06,Black & Tan,Husky X,M/N,Lost,Smogley,2001-06-06
2001-06-07,Black & Tan & Grey,Large Shaggy Terrier,M,Lost,Bear,2001-06-07
2001-06-08,Biege,Pom,M,Lost,Meko,2001-06-08
2001-06-08,Black,Lab,M,Matched,Jackson,2001-06-08
2001-06-08,Black & Tan,Rotty-3 pups,M,Matched,,2001-06-08
2001-06-08,Grey & Brown,Yorkie,M/N,Lost,Ratty,2001-06-08
2001-06-08,Black & Tan,Doby,M/N,Matched,Luke,2001-06-08
2001-06-08,Red,Chow X,F/S,Lost,Sammy,2001-06-08
2001-06-08,Black,Cockapoo,M/N,Lost,Fergus,2001-06-08
2001-06-08,White,Toy Poodle,M/N,Matched,Chi Chi,2001-06-08
2001-06-09,Beige,Shiba Inu X,M/N,Lost,Bruce,2001-06-09
2001-06-10,Lite Beige,Chihuahua,F,Lost,Chi Chi,2001-06-10
2001-06-10,Orange,Pom,M,Found,Teddy,2001-06-10
2001-06-11,White & Black,Shih Tzu,F,Matched,,2001-06-11
2001-06-11,Black & Tan,Rottweiller,F,Found,,2001-06-11
2001-06-12,Black & Tan,Rottweiler,M,Found,,2001-06-12
2001-06-12,Tri Colour,Beagle,M,Matched,Dakota,2001-06-12
2001-06-12,White,Jack Russell,F/S,Matched,Madison,2001-06-12
2001-06-12,Black & Tan,Rott X Shep X Greyhound,F,Lost,Mildred,2001-06-12
2001-06-13,Reddish,Chow X Newfie,M,Lost,,2001-06-13
2001-06-13,Orange,Manx Cat,M,Lost,,2001-06-13
2001-06-14,White,American Eskimo,F/S,Lost,Sasha,2001-06-14
2001-06-14,Black & Tan,Shep X,F/S,Lost,Bella,2001-06-14
2001-06-14,Brown,Staffie X Ridgeback,F,Lost,Sage,2001-06-14
2001-06-15,Black,Lab X Pit,M/N,Lost,Duke,2001-06-15
2001-06-16,Dark Brown with White Chest,Lab X,M/N,Matched,,2001-06-16
2001-06-16,Black,Lab X Staff,M,Matched,Jake,2001-06-16
2001-06-17,Blonde,Cocker Span,M/N,Matched,Cosmo,2001-06-17
2001-06-18,Brindle,Pitbull,F,Matched,,2001-06-18
2001-06-18,Tan,Pitbull,M,Matched,,2001-06-18
2001-06-15,White & Blue Merle,Blue Heeler,M/N,Lost,Sneak,2001-06-18
2001-06-18,Beige & White & Black,Shih Tzu,M/N,Matched,George,2001-06-18
2001-06-18,Brown & White,Springer Spaniel,F/S,Matched,Carly,2001-06-18
2001-06-18,Tan & Black Tips,Chihuahua,F/S,Matched,Wendy,2001-06-18
2001-06-19,Black,Lab,M/N,Matched,Stetson,2001-06-19
2001-06-19,Blonde & Black,Shep X,M/N,Found,,2001-06-19
2001-06-20,White & Brown Spots,Lab X Terrier,M/N,Matched,,2001-06-20
2001-06-22,Black & Gold,Rottweiler X,F,Found,,2001-06-22
2001-06-22,Black & Tan,Shep,M,Matched,Bert,2001-06-23
2001-06-23,Black,Lab,F/S,Matched,Shooter,2001-06-23
2001-06-24,Tan,Golden Retriever,F/S,Matched,Jessie,2001-06-24
2001-06-25,Dark Grey,Pom X Poo,F/S,Matched,Punky,2001-06-25
2001-06-24,Dark Brown Brindle,Lab X Mutt,M/N,Matched,Dingo,2001-06-25
2001-06-25,Black & Tan,Doberman,F/S,Lost,Lexie,2001-06-25
2001-06-22,Black & White & Beige,Silkipoo,M/N,Matched,Nikki,2001-06-25
2001-06-26,Tan,Larger Breed (pup),M,Matched,,2001-06-26
2001-06-22,Grey & White,Husky X,M,Matched,Hungry,2001-06-26
2001-06-26,Black & White,Border Collie X Sheepdog,M,Matched,Nicki,2001-06-26
2001-06-18,Black,Lab,M,Lost,Jackson,2001-06-26
2001-06-27,Black & Tan & White,Husky X,M/N,Matched,Luke,2001-06-27
2001-06-25,Black,Cockapoo,F/S,Lost,Trina,2001-06-27
2001-06-27,Grey & White,Siberian Husky,F,Matched,Luna,2001-06-27
2001-06-28,Black & White,Husky X Shep,M/N,Matched,Mowgli -(Rudolph?),2001-06-28
2001-06-28,Black & White,Husky X Shep,M/N,Matched,,2001-06-28
2001-06-28,Black & White,Siberian Husky,M,Matched,Esko,2001-06-28
2001-06-28,Black,English Lab,M,Matched,Tug,2001-06-29
2001-06-22,Black & Tan,Dachsund,M/N,Lost,Mattie,2001-06-29
2001-06-28,Black & Tan,Min Pincher,M,Lost,Nike,2001-06-29
2001-06-29,White,Samoyed,M,Lost,Kobe,2001-06-29
2001-06-29,Black,Lab,F/S,Matched,Moonshine,2001-06-29
2001-06-29,White,Bichon X Shih,M,Lost,Murphy,2001-06-30
