,Date,Color,Breed,Sex,State,Name,DateCreated
168,2014-05-20,White,Beagle,M,Lost,Maxie,2014-05-20
169,2014-05-20,Grey,Cat,M/N,Lost,Oliver,2014-05-20
170,2014-05-20,White,Cat,F,Lost,Vinegar,2014-05-20
171,2014-05-18,Brown,Tabby,F/S,Lost,Ginger,2014-05-20
172,2014-05-20,Brown,Beagle,M,Lost,Henry,2014-05-20
173,2014-05-21,Black,Cat,M,Lost,Elais,2014-05-21
174,2014-05-21,Fawn,Pug,M,Lost,Bogart,2014-05-21
175,2014-05-22,White,Corgi,M,Lost,Lyrus,2014-05-22
176,2014-05-23,Brown,Cat,M,Lost,Ivan,2014-05-23
177,2014-05-24,Tan,Pit X,X,Lost,Not Provided,2014-05-24
178,2014-05-26,Brown,Tabby,M,Lost,Teddy,2014-05-26
179,2014-05-26,Black,Lab X,M,Lost,Dhillion,2014-05-26
180,2014-05-28,Red,Staffordshire Bull Terrier,F,Lost,Taya,2014-05-28
181,2014-05-30,,DSH Cat,F,Lost,Ruckie,2014-05-30
182,2014-05-30,Black,DSH Cat,M,Lost,,2014-05-30
183,2014-05-30,White,Chihuahua,F,Lost,Missy,2014-05-30
184,2014-05-30,Brown,Chihuahua,M,Lost,Rocko,2014-05-30
185,2014-05-30,Black,Doberman Pinscher,,Lost,Duke,2014-05-30
186,2014-05-30,Brown,Miniature Pinscher,M,Lost,Milo,2014-05-30
187,2014-05-31,Brown,Miniature Pinscher,M,Lost,Milo,2014-05-31
188,2014-05-31,Black,Germ. Shepherd,M,Lost,Max,2014-05-31
189,2014-05-31,Red,Vizsla,M,Lost,Wesley,2014-05-31
190,2014-05-31,Brown,Shiba Inu,M,Lost,Natsuo,2014-05-31
191,2014-06-01,Black,Cat,M,Lost,Little Man,2014-06-01
192,2014-06-03,White,.Unknown Breed Mix,,Lost,,2014-06-02
193,2014-06-02,Brown,Tabby,M,Lost,Max,2014-06-02
194,2014-06-04,Red,Lab X,M,Lost,Jones,2014-06-04
195,2014-06-05,Black,Terrier,M,Lost,Elvis,2014-06-05
196,2014-06-06,Black,Rottweiler,F,Lost,Legend,2014-06-06
197,2014-06-06,Orange,Naine Coon,X,Lost,Unknown,2014-06-06
198,2014-06-06,Peach face,Lovebird,F,Lost,,2014-06-06
199,2014-06-07,Grey,Tabby,M,Lost,Kasey,2014-06-07
200,2014-06-07,Black,DSH Cat,M,Lost,Charlie,2014-06-07
201,2014-06-07,White,DSH,M,Lost,Charlie,2014-06-07
202,2014-06-08,,Lovebird,X,Lost,Jerk,2014-06-08
203,2014-06-08,Brown,Shepherd,M,Lost,Benji,2014-06-08
204,2014-06-09,Black,Tuxedo,F,Lost,,2014-06-09
205,2014-06-09,Black,Amer. Staffordshire,,Lost,Rossi,2014-06-09
206,2014-06-10,Orange,Ginger Tabby,,Lost,Toto,2014-06-10
207,2014-06-10,Black,Husky X,F/S,Lost,Eclipse,2014-06-11
208,2014-06-11,,Tuxedo Black and White,F/S,Lost,,2014-06-11
209,2014-06-11,,Bengal part Tabby,F,Lost,Nala,2014-06-11
210,2014-06-12,Brown,Shih Tzu,M,Lost,Toby,2014-06-12
211,2014-06-12,Grey,,M,Lost,Gabriel,2014-06-12
212,2014-06-14,Black,Chihuahua,M,Lost,Jaxon,2014-06-14
213,2014-06-15,Black,Yorkie X,M,Lost,Carter,2014-06-15
214,2014-06-15,Grey,DLH,F/S,Lost,Lacey,2014-06-15
215,2014-06-16,Brown,Labrador,M,Lost,Charlie,2014-06-16
216,2014-06-16,Brindle with white face tummy,Staffordshire Bull Terrier,F,Lost,Harriet.,2014-06-16
217,2014-06-17,Black,,F,Lost,Motor,2014-06-17
218,2014-06-18,White,Red Heeler,M/N,Lost,Lyrus,2014-06-18
219,2014-06-21,Brown,Labrador,M,Lost,Beamer,2014-06-21
220,2014-06-21,White,Lab X,F,Lost,Kai,2014-06-21
221,2014-06-22,Tan,Pit Bull,M,Lost,Geno,2014-06-22
222,2014-06-23,Grey,DSH,M,Lost,William,2014-06-23
223,2014-06-24,Grey,American Curl,M,Lost,Jackson,2014-06-24
224,2014-06-25,Grey,,F,Lost,Lala,2014-06-25
225,2014-06-25,Red,Shiba Inu,M,Lost,Sky,2014-06-25
226,2014-06-26,Green,Alexandrian,X,Lost,Sylvia,2014-06-26
227,2014-06-25,Black,,F/S,Lost,Sparkle,2014-06-26
228,2014-06-26,Brown,,F/S,Lost,Poppy,2014-06-27
229,2014-06-27,Tan,Lab X,M,Lost,Luc,2014-06-27
230,2014-06-27,White,Jack Russell Terrier,F,Lost,Oglie,2014-06-27
231,2014-06-25,Black,,F/S,Lost,Abby (Abigail),2014-06-28
232,2014-06-29,White,Labradoodle,,Lost,Bilu,2014-06-29
233,2014-06-30,Grey,Grey tabby,M,Lost,Sax,2014-06-30
234,2014-06-30,Tan,Pit Bull,M,Lost,Louie,2014-06-30
235,2014-07-01,Grey,Cat,M,Lost,Mumu,2014-07-01
236,2014-06-28,Grey,DSH Manx,F,Lost,Mimi,2014-07-01
237,2014-07-02,Calico,DSH,F/S,Lost,Catty,2014-07-02
238,2014-07-03,Grey,Blue Heeler,M,Lost,Taz,2014-07-03
239,2014-07-02,White,Chihuahua,M,Lost,Rocky,2014-07-03
240,2014-07-03,Tan,Chow Chow,F/S,Lost,Little Red,2014-07-03
241,2014-07-03,Brindle with white,Pit Bull,F,Lost,Keisha,2014-07-03
242,2014-07-05,Brown,Miniature Pinscher,M,Lost,Benito,2014-07-05
243,2014-07-05,Grey,Tabby,F,Lost,Mitt,2014-07-05
244,2014-07-06,Grey,Tabby/Ragdoll,F,Lost,Whiskey,2014-07-06
245,2014-06-28,Black,,M/N,Lost,,2014-07-06
246,2014-07-06,Black,French Bulldog,M,Lost,Louie,2014-07-06
247,2014-07-07,Black,.Unknown Breed Mix,,Lost,Mino,2014-07-07
248,2014-07-07,Apricot,DSH Tabby,M,Lost,Horasce,2014-07-07
249,2014-07-08,White,DSH,M/N,Lost,Max,2014-07-08
250,2014-07-09,White,"Tabby, white, orange, black",M,Lost,Baby,2014-07-09
251,2014-07-09,orange tabby,.Unknown Breed Mix,X,Lost,,2014-07-09
252,2014-07-10,Orange Tabby,Tabby,M,Lost,,2014-07-10
253,2014-07-10,Orange DSH,DSH,M,Lost,Alf,2014-07-10
254,2014-07-10,Black,DSH,F,Lost,Two Cheeks,2014-07-10
255,2014-07-10,Brown,Brown grey tabby,M/N,Lost,William,2014-07-10
256,2014-07-11,White,Mutt,F,Lost,Dandan,2014-07-11
257,2014-07-10,Grey,Siamese,F/S,Lost,Pixie,2014-07-11
258,2014-07-12,Black,Jack Russell Terrier,M,Lost,Jasper,2014-07-12
259,2014-07-12,White,Jack Russell Terrier,M,Lost,Jasper,2014-07-12
260,2014-07-12,,Black w torn left ear,M,Lost,Nelly,2014-07-13
261,2014-07-13,Black,Miniature Schnauzer,M,Lost,Nitro,2014-07-13
262,2014-07-14,White,.Unknown Breed Mix,M,Lost,Charlie,2014-07-14
263,2014-07-14,Brown,Boston Terrier,F/S,Lost,Nala,2014-07-14
264,2014-07-15,Orange,Cat,M,Lost,Rocky,2014-07-15
265,2014-07-15,Cream,Pug,F/S,Lost,Marley,2014-07-15
266,2014-07-15,Orange/White,Tabby,M,Lost,Unknown,2014-07-15
267,2014-07-15,Black,Yorkshire Terrier,M,Lost,Rusesel,2014-07-15
268,2014-07-13,Golden,Yorkie X,,Lost,Toby,2014-07-16
269,2014-07-16,,Black cat,M,Lost,Henry,2014-07-17
270,2014-07-18,Brown,Labrador,M/N,Lost,Bruno,2014-07-18
271,2014-07-18,Grey,Wheaten Terrier,F,Lost,Sophie,2014-07-18
272,2014-07-18,Black,Black cat,F,Lost,Buddug,2014-07-19
273,2014-07-19,White,Border Collie,M,Lost,Ike,2014-07-19
274,2014-07-20,Black,Cat w kinked tail,M,Lost,Fly,2014-07-20
275,2014-07-20,White,Pit Bull,M,Lost,Forte,2014-07-20
276,2014-07-21,Grey,Cat,X,Lost,?,2014-07-21
277,2014-07-21,Black,Japanese Chin,M,Lost,Bobbaloui,2014-07-21
278,2014-07-21,Black,Cat,,Lost,Casino,2014-07-21
279,2014-07-22,Grey,DSH,,Lost,Perry,2014-07-22
280,2014-07-22,Black,Labrador,M,Lost,Farley,2014-07-22
281,2014-07-23,White,Japanese Chin,M,Lost,Snuffles,2014-07-23
282,2014-07-23,Black,DSH,M,Lost,Bruno,2014-07-23
283,2014-07-23,Grey,Tabby,M,Lost,Gidash,2014-07-23
284,2014-07-23,Grey,Tabby,F,Lost,Jesse,2014-07-23
285,2014-07-23,"Pearl grey, white spots, yello",Cockatiel,F,Lost,Latisha,2014-07-23
286,2014-07-26,Grey,Tabby kitten,M,Lost,Not provided,2014-07-26
287,2014-07-26,White,Pomeranian,F,Lost,Princess,2014-07-26
288,2014-07-27,Black,"Black cat, white paws",,Lost,Name not given,2014-07-27
289,2014-07-26,Black,Blue Heeler,M,Lost,Porter,2014-07-27
290,2014-07-27,Brown,Burmese Cat,F,Lost,Creature,2014-07-27
291,2014-07-27,Brown,Cairn Terrier,,Lost,Ginger,2014-07-27
292,2014-07-28,Black,Dachshund,M,Lost,jake.,2014-07-28
293,2014-07-28,Black,Rhode Island (Chicken),X,Lost,Rosco & waffles,2014-07-28
294,2014-07-28,White,DSH,F,Lost,Grace,2014-07-28
295,2014-07-28,Black,Miniature Pinscher,M,Lost,scrappy,2014-07-28
296,2014-07-28,Tan,Pomeranian,F,Lost,Bubbaloo,2014-07-28
297,2014-07-28,Tan,Chihuahua,F,Lost,Tika,2014-07-28
298,2014-07-29,Black,Miniature Pinscher,M/N,Lost,Scrappy (aka Scrappy Doo),2014-07-29
299,2014-07-29,Black,DSH,X,Lost,Unknown,2014-07-29
300,2014-07-29,,Miniature Poodle X,F/S,Lost,Lola,2014-07-29
301,2014-07-29,Grey,DSH,,Lost,Bandit,2014-07-29
302,2014-07-29,Black,Jack Russell Terrier,M,Lost,Unknown,2014-07-29
303,2014-07-31,,Black w white on neck,F,Lost,Didn't say,2014-07-31
304,2014-07-31,White,Toy Poodle,F/S,Lost,Bobo,2014-07-31
305,2014-08-01,Black,DSH,F,Lost,Tonchi,2014-08-01
306,2014-08-01,White,Maltese,F,Lost,Lemon,2014-08-01
307,2014-08-03,Apricot,Long-hair tabby,M,Lost,Whalley,2014-08-02
308,2014-08-02,Grey,Long Haired,M,Lost,Cocoa,2014-08-02
309,2014-08-02,Black,Chihuahua,F,Lost,Teela,2014-08-02
