,Date,Color,Breed,Purebred,CKC Class,dog_breed_type,Sex,State,pet_name,DateCreated,is_dog,sex_simple,date_created
63,2014-03-21,White,Border Collie,Border Collie,Herding Dog,herding,F,Lost,Tika,2014-03-21,True,f,2014-03-21 00:00:00
64,2014-03-22,Brown,French Bulldog,French Bulldog,Non-Sporting Dog,nonsporting,M,Lost,Monster,2014-03-22,True,m,2014-03-22 00:00:00
65,2014-03-18,Other,Ferret,Ferret,,,M,Lost,Frank,2014-03-22,False,m,2014-03-22 00:00:00
66,2014-03-22,White,Beagle,Beagle,Hound,hound,M,Lost,Maxie,2014-03-22,True,m,2014-03-22 00:00:00
67,2014-03-23,Other,Yorkshire Terrier,Yorkshire Terrier,Toy Dog,toy,F/S,Lost,Mui-Mui,2014-03-23,True,f,2014-03-23 00:00:00
68,2014-03-24,Black,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,Lost,Lucero,2014-03-24,True,f,2014-03-24 00:00:00
69,2014-03-23,Other,Pomeranian,Pomeranian,Toy Dog,toy,F,Lost,Minnie,2014-03-24,True,f,2014-03-24 00:00:00
70,2014-03-24,White,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,Lost,Sadie,2014-03-24,True,f,2014-03-24 00:00:00
71,2014-03-25,Brown,Beagle,Beagle,Hound,hound,M/N,Lost,Maxie,2014-03-25,True,m,2014-03-25 00:00:00
72,2014-03-25,Black,DSH,DSH Cat,,,M,Lost,Unknown,2014-03-25,False,m,2014-03-25 00:00:00
73,2014-03-23,Grey,DSH,DSH Cat,,,M/N,Lost,Buddy,2014-03-27,False,m,2014-03-27 00:00:00
74,2014-03-28,Black,DSH,DSH Cat,,,M/N,Lost,Buckey,2014-03-28,False,m,2014-03-28 00:00:00
75,2014-03-28,Grey,Tortoise Shell Tabby,Tortoise Shell Cat,,,F,Lost,?,2014-03-31,False,f,2014-03-31 00:00:00
76,2014-04-01,Other,Jack Russell Terrier,Jack Russell Terrier,Terrier,terrier,M,Lost,Shmoe,2014-04-01,True,m,2014-04-01 00:00:00
77,2014-04-01,Black,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,Diego,2014-04-01,True,m,2014-04-01 00:00:00
78,2014-04-01,Black,Staffordshire Bull Terrier,Staffordshire Bull Terrier,Terrier,terrier,M/N,Lost,Dexter,2014-04-01,True,m,2014-04-01 00:00:00
79,2014-04-01,White,Maltese,Maltese,Toy Dog,toy,M,Lost,Zeus,2014-04-01,True,m,2014-04-01 00:00:00
80,2014-04-02,Brown,Unknown,Unknown,Dog Crossbreed,crossbreed,M,Lost,Wes,2014-04-02,True,m,2014-04-02 00:00:00
81,2014-04-04,Other,DSH Cat,DSH Cat,,,M,Lost,Chad,2014-04-04,False,m,2014-04-04 00:00:00
82,2014-04-05,Other,Kitten,Kitten,,,M,Lost,Little Cheese,2014-04-05,False,m,2014-04-05 00:00:00
83,2014-04-06,Black,Schipperke,Schipperke,Non-Sporting Dog,nonsporting,F,Lost,Minly,2014-04-06,True,f,2014-04-06 00:00:00
84,2014-04-06,Other,Maltese,Maltese,Toy Dog,toy,M,Lost,Teddy Bear,2014-04-06,True,m,2014-04-06 00:00:00
85,2014-04-07,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,F,Lost,,2014-04-07,True,f,2014-04-07 00:00:00
86,2014-04-08,Other,Amer. Staffordshire,American Staffordshire,Terrier,terrier,F/S,Lost,Taya,2014-04-08,True,f,2014-04-08 00:00:00
87,2014-04-08,Other,Budgie,Budgie,,,X,Lost,Pickles,2014-04-08,False,x,2014-04-08 00:00:00
88,2014-04-09,Brown,Labrador,Labrador Retriever,Sporting Dog,sporting,M,Lost,Teddy,2014-04-09,True,m,2014-04-09 00:00:00
89,2014-04-09,White,Chihuahua,Chihuahua,Toy Dog,toy,F/S,Lost,Wink,2014-04-09,True,f,2014-04-09 00:00:00
90,2014-04-09,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,Lost,Max,2014-04-09,True,m,2014-04-09 00:00:00
91,2014-04-09,White,,,,,M,Lost,,2014-04-09,False,m,2014-04-09 00:00:00
92,2014-04-10,Black,Blue Heeler,Blue Heeler,Herding Dog,herding,M,Lost,Buffy,2014-04-10,True,m,2014-04-10 00:00:00
93,2014-04-10,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,Lost,Tyson or Hansen?,2014-04-10,True,m,2014-04-10 00:00:00
94,2014-04-10,White,Tabby Main Coon,Maine Coon Cat,,,,Lost,,2014-04-10,False,x,2014-04-10 00:00:00
95,2014-04-11,Other,Tabby Cat,Tabby Cat,,,M,Lost,Myles,2014-04-11,False,m,2014-04-11 00:00:00
96,2014-04-11,Other,Chihuahua,Chihuahua,Toy Dog,toy,F/S,Lost,Tiny,2014-04-11,True,f,2014-04-11 00:00:00
97,2014-04-12,Brown,Heeler,Heeler,Herding Dog,herding,F/S,Lost,Trout,2014-04-12,True,f,2014-04-12 00:00:00
98,2014-04-13,White,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,Smudge,2014-04-13,True,m,2014-04-13 00:00:00
99,2014-04-13,Other,Muted calico,Muted calico,,,F,Lost,Nora,2014-04-13,False,f,2014-04-13 00:00:00
100,2014-04-13,Grey,Maincoon.,Maine Coon Cat,,,M,Lost,Max,2014-04-13,False,m,2014-04-13 00:00:00
101,2014-04-14,Black,DSH,DSH Cat,,,M/N,Lost,,2014-04-14,False,m,2014-04-14 00:00:00
102,2014-04-16,Brown,Chihuahua,Chihuahua,Toy Dog,toy,F/S,Lost,Lucia,2014-04-16,True,f,2014-04-16 00:00:00
103,2014-04-17,Black,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,Kashi,2014-04-17,True,m,2014-04-17 00:00:00
104,2014-04-17,Black,Aust. Shepherd,Australian Shepherd,Herding Dog,herding,F,Lost,Bali,2014-04-17,True,f,2014-04-17 00:00:00
105,2014-04-17,Other,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,,2014-04-17,True,m,2014-04-17 00:00:00
106,2014-04-19,Other,Yorkie X,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,Kobe,2014-04-19,True,m,2014-04-19 00:00:00
107,2014-04-20,Other,Chihuahua,Chihuahua,Toy Dog,toy,F,Lost,Lucia,2014-04-20,True,f,2014-04-20 00:00:00
108,2014-04-20,Other,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,Lost,Maisi,2014-04-20,True,m,2014-04-20 00:00:00
109,2014-04-22,Other,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M/N,Lost,,2014-04-22,True,m,2014-04-22 00:00:00
110,2014-04-22,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M/N,Lost,Bing Lee,2014-04-23,True,m,2014-04-23 00:00:00
111,2014-04-23,White,Miniature Poodle,Poodle,Non-Sporting Dog,nonsporting,M/N,Lost,Buddy,2014-04-23,True,m,2014-04-23 00:00:00
112,2014-04-23,Black,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,M,Lost,Lancelot,2014-04-23,True,m,2014-04-23 00:00:00
113,2014-04-23,Black,Shepherd X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,Seeker,2014-04-23,True,f,2014-04-23 00:00:00
114,2014-04-24,Other,Cocker Spaniel,Cocker Spaniel,Sporting Dog,sporting,M/N,Lost,Chilly Bear,2014-04-24,True,m,2014-04-24 00:00:00
115,2014-04-24,Black,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F/S,Lost,Not given,2014-04-24,True,f,2014-04-24 00:00:00
116,2014-04-25,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M/N,Lost,Avery,2014-04-25,True,m,2014-04-25 00:00:00
117,2014-04-25,Other,Goldendoodle,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,Sam,2014-04-25,True,m,2014-04-25 00:00:00
118,2014-04-25,Brown,Chihuahua,Chihuahua,Toy Dog,toy,M,Lost,JoJo,2014-04-26,True,m,2014-04-26 00:00:00
119,2014-04-26,Brown,Abyssinian,Abyssinian Cat,,,F,Lost,,2014-04-26,False,f,2014-04-26 00:00:00
120,2014-04-27,Black,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,Lost,Flower Pot,2014-04-27,True,f,2014-04-27 00:00:00
121,2014-04-27,Brown,Boston Terrier,Boston Terrier,Non-Sporting Dog,nonsporting,F,Lost,,2014-04-27,True,f,2014-04-27 00:00:00
122,2014-04-29,Other,Siamese,Siamese Cat,,,M,Lost,Sparkles,2014-04-29,False,m,2014-04-29 00:00:00
123,2014-04-29,White,DMH,DMH Cat,,,M/N,Lost,Gazoo,2014-04-29,False,m,2014-04-29 00:00:00
124,2014-04-29,Black,Collie,Collie,Herding Dog,herding,F/S,Lost,Cassidy,2014-04-29,True,f,2014-04-29 00:00:00
125,2014-04-30,Black,Bull Mastiff,Bull Mastiff,Working Dog,working,M,Lost,Rosco,2014-04-30,True,m,2014-04-30 00:00:00
126,2014-05-01,Grey,Long hair,Long hair,,,M,Lost,Timmy,2014-05-01,False,m,2014-05-01 00:00:00
127,2014-05-01,Black,Toy Poodle,Toy Poodle,Toy Dog,toy,M,Lost,Oliver,2014-05-01,True,m,2014-05-01 00:00:00
128,2014-04-18,Black,DSH,DSH Cat,,,F/S,Lost,Miso,2014-05-01,False,f,2014-05-01 00:00:00
129,2014-05-02,Grey,Tabby,Tabby Cat,,,M,Lost,Simon,2014-05-02,False,m,2014-05-02 00:00:00
130,2014-05-03,Other,Persian,Persian,,,M,Lost,Persy,2014-05-03,False,m,2014-05-03 00:00:00
131,2014-05-04,Black,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,Chill,2014-05-04,True,f,2014-05-04 00:00:00
132,2014-05-04,Black,Terrier,Terrier,Terrier,terrier,M,Lost,Blacky,2014-05-04,True,m,2014-05-04 00:00:00
133,2014-05-05,Black,Germ. Shepherd,German Shepherd Dog,Herding Dog,herding,M,Lost,Bailey,2014-05-05,True,m,2014-05-05 00:00:00
134,2014-05-06,Grey,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,lola,2014-05-06,True,f,2014-05-06 00:00:00
135,2014-05-06,Other,.Unknown Breed Mix,Dog Crossbreed,Dog Crossbreed,crossbreed,M,Lost,,2014-05-06,True,m,2014-05-06 00:00:00
136,2014-05-06,Black,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F/S,Lost,Cookie,2014-05-06,True,f,2014-05-06 00:00:00
137,2014-05-07,White,Jack Russell Terrier,Jack Russell Terrier,Terrier,terrier,F,Lost,Stitch,2014-05-07,True,f,2014-05-07 00:00:00
138,2014-05-07,Black,Lab X,Dog Crossbreed,Dog Crossbreed,crossbreed,,Lost,,2014-05-07,True,x,2014-05-07 00:00:00
139,2014-05-08,Black,,,,,M,Lost,Louie,2014-05-08,False,m,2014-05-08 00:00:00
140,2014-05-08,Brown,Tabby,Tabby Cat,,,M,Lost,copper,2014-05-08,False,m,2014-05-08 00:00:00
141,2014-05-08,White,Pitbull,Pitbull,Terrier,terrier,M,Lost,Dic,2014-05-08,True,m,2014-05-08 00:00:00
142,2014-05-08,Black,Shih Tzu,Shih Tzu,Non-Sporting Dog,nonsporting,F,Lost,Brittney,2014-05-08,True,f,2014-05-08 00:00:00
143,2014-05-08,Grey,Weimaraner,Weimaraner,Sporting Dog,sporting,M,Lost,Nova,2014-05-08,True,m,2014-05-08 00:00:00
144,2014-05-09,White,Pitbull,Pitbull,Terrier,terrier,M,Lost,Dick,2014-05-09,True,m,2014-05-09 00:00:00
145,2014-05-10,Black,DSH,DSH Cat,,,F,Lost,Kat,2014-05-10,False,f,2014-05-10 00:00:00
146,2014-05-11,White,,,,,F,Lost,tofu,2014-05-11,False,f,2014-05-11 00:00:00
147,2014-05-11,White,Aust. Shepherd,Australian Shepherd,Herding Dog,herding,M,Lost,,2014-05-11,True,m,2014-05-11 00:00:00
148,2014-05-11,Black,Yorkshire Terrier,Yorkshire Terrier,Toy Dog,toy,M,Lost,Buddy,2014-05-11,True,m,2014-05-11 00:00:00
149,2014-05-12,Other,,,,,M/N,Lost,,2014-05-12,False,m,2014-05-12 00:00:00
150,2014-04-25,Black,Chihuahua,Chihuahua,Toy Dog,toy,F,Lost,Ruby,2014-05-12,True,f,2014-05-12 00:00:00
151,2014-05-13,Other,,,,,M,Lost,Chibi,2014-05-13,False,m,2014-05-13 00:00:00
152,2014-05-13,Other,Pomeranian,Pomeranian,Toy Dog,toy,F,Lost,Sugar,2014-05-13,True,f,2014-05-13 00:00:00
153,2014-05-13,Black,Boxer,Boxer,Working Dog,working,F/S,Lost,Maggie,2014-05-13,True,f,2014-05-13 00:00:00
154,2014-05-14,White,Maltese,Maltese,Toy Dog,toy,M,Lost,,2014-05-14,True,m,2014-05-14 00:00:00
155,2014-05-14,White,Cocker Spaniel,Cocker Spaniel,Sporting Dog,sporting,F,Lost,Nova,2014-05-14,True,f,2014-05-14 00:00:00
156,2014-05-14,Grey,Tabby,Tabby Cat,,,F/S,Lost,Luvie,2014-05-14,False,f,2014-05-14 00:00:00
157,2014-05-15,Black,Yorkie X,Dog Crossbreed,Dog Crossbreed,crossbreed,F,Lost,Peanut,2014-05-15,True,f,2014-05-15 00:00:00
